,city,country,latitude,location_data_accuracy,longitude,state,availability,average_image_size,bathroom,bedroom,cat,date_available,description,dog,housing_type,image_number,laundry,parking,price,smoking,square_footage,url
4949082219,Arlington,US,38.893049,15,-77.080130,VA,available now,0, 1,1 ,,2015-04-17,"
        Hardwoods throughout, 2 walk-in closets, Storage unit, Community bike storage, Walking distance to 2 metros (Rosslyn & Courthouse). Mins to Georgetown & walk to shops, restaurants & theatre, Easy access to Rte. 50, Rte. 66 & 395, Security lock on bldg front door.

Terms: 12 to 36 Months
Available April 17, 2015
Rent: $1,600
Deposit: $1,600
Pet deposit $500 per animal
Pets case by case
No smoking. 
Application fee $50 per adult 
Apply online @ www.peakeinc.com

Qualifications: 2 years of full-time employment history, 2 years of rental history (or home ownership), good credit, household income roughly $65,000.

Listed by Aaquil Atkins, Realtor
For information and showings call or click on Contact above.
Showings by appointment.

This property is professionally managed by 
Peake Management, Inc. 
6842 Elm St., Suite 303
McLean, VA 22101

Visit www.peakeinc.com to see more details and all our other listings.

Licensed in the Commonwealth of Virginia
    ",,condo,0,,street parking,$1600,,,http://washingtondc.craigslist.org/nva/apa/4949082219.html
4950677057,Arlington,US,38.891497,15,-77.081415,VA,available now,30000, 1,1 ,cats are OK - purrr,2015-04-10,"
        19Nineteen Clarendon Apartments are just footsteps from Arlington's best shops, dining, and only two blocks from the Orange Line Court House Metro station. Arlington apartment residents enjoy the convenience of underground parking and the luxury of additional storage. Enjoy the refreshing style of a sophisticated Clarendon apartment with such features as LEED certification, Italian cabinetry in every stylish fully-equipped kitchen and granite countertops throughout! Schedule a tour a of our beautiful pet-friendly rental community, and see for yourself what sets our luxury apartments in Arlington apart from the rest!

Amenities:
Energy Efficient Fixtures and Appliances
Tiled Bathrooms
100% Non-Smoking Building
Brand New Yoga and Fitness Center
Two blocks to Courthouse Metro station
24-Hour Fitness Center
Bike Share Locations
Fitness on Demand
SmarTrip Card Plus $25.00 Metro Fare Media for New Residents
Resident Lounge

Nearby:
Wylie Wagg
AMC Court House Plaza 8
Yorktown High
Rhodeside Grill
Summers Restaurant
Guarapo Lounge

Call: 
 show contact info
",dogs are OK - wooof,apartment,9,w/d in unit,attached garage,$2450,no smoking,729,http://washingtondc.craigslist.org/nva/apa/4950677057.html
4950692339,Leesburg,US,39.113589,0,-77.565390,VA,available now,22500,,1,,2016-01-19,"
        Awesome Private 1 Bedroom apartment with private entrance and encompasses the entire top floor of the 2 building structure.  McLister Professional Building perfect for professionals who want private, quiet , safe apartment with an outdoor courtyard. Downtown Leesburg Historic District. Campus environment with only grass courtyard downtown and private parking on site. Add that there is a full sized washer/dryer on site and it has everything needed in Quiet, professional, personal apartment right inthe heart of the Historic District to walk to everything.  

Walk to shops, restaurants, courthouse.  15 steps and you are on King St! $150 utilities fee includes everything - Heat/AC, Electric, Natural Gas, Water, Trash.  Just finished complete renovation of paint, kitchen, cabinets,  walls, paint, carpet and cable jacks. 

Quiet, Private , your own entrance, your own parking. Full bathroom, kitchen. The whole top floor.  Simple, efficient, quiet.  Lighted parking lot and outside of the property. Best in town! 

Downtown, walk to shops restaurants,  

*Private entrance
*New Refrig
* New Stove
* New Carpet
* Tile Shower
*New Windows
*New Paint - bedroom, bathroom, great room, stairway, ceilings.
* Lighted parking lot
* New Gutters and roof 
* New Lights, Ceiling Fans and Smoke Detectors
* Washer/Dryer on Premises for use.
*Only Building in the Historic District with Natural Gas 
* Grass Courtyard with tables and chairs on site. 
*FIOS Ready

No Smoking, No Pets. 

",,apartment,12,laundry on site,,$1150,no smoking,550,http://washingtondc.craigslist.org/nva/apa/4950692339.html
4950772276,,,,,,,available now,67500, 1,1 ,,2015-05-01,"
        This is the only rental like this in N Va, and the current renter for 4 years is moving out so it will be available May 1 for move-in. The cottage includes kitchenette, small bedroom, full bath/shower, loft, porch, access to laundry facilities in main house. $1,350 rent + deposit, and sits on four wooded acres with a security gate with the main house and a property caretaker's cottage. The guest cottage is only 15x20 so it is for single occupancy only, and for someone who has few furnishings (unit is unfurnished). The county has zoned this cottage for someone over the age of 55 years only, so you must meet this requirement (it's zoned as an ""Accessory Dwelling Unit"").

Directly across the street from some of the nicest parks in the Metro area right on the Potomac -- hiking, biking, trails, waterfalls. And only five minutes from the town of Great Falls (Safeway, banks, gas, restaurants), 10-15 minutes to Sterling, Reston, McLean, Langley, Tysons. Great Falls is not accessible to mass transportation (bus or Metro) so you will need a car (rush hour commute to DC is about 45 minutes). Although Great Falls is 8 minutes off of the beltway, it is literally the last town in the Metro area with lots of trees and space -- everyone lives on 2-4 acres, and rentals in this area rarely come up. 

Additional pictures at: http://www.flickr.com/photos/15721827@N05/sets/72157602615630977/

Electricity is metered separately for this cottage (around $20-80), cable (cost) and optional wireless ($55) available. Single occupancy only, very very quiet people only who don't expect frequent guests; no pets (cats/dogs); minimum one year lease. Must pass credit and criminal background checks. Please verify that you are over the age of 55, along with your job, location of work, contact details and any other information you would like to share in your first writing.
",,cottage/cabin,4,laundry on site,off-street parking,$1350,,,http://washingtondc.craigslist.org/nva/apa/4950772276.html
4951053451,,,,,,,available now,0, 4.5,5 ,cats are OK - purrr,2016-02-17,"
        You can buy the same home for 100s less than renting it. Besides it being cheaper you get a tax break for paying your mortgage interest, which will save you around $50+/mo on your income taxes per 10k/year in income you have. So if you make 50 grand a year, you will save about $250/mo on your income taxes. Also as you pay off your loan, it builds your equity and when you decide to move, you can make some nice easy $$$ when you sell it. Do whatever you want to the place without permission from the owners. Feel a sense of pride owning a house.  You don't have to pay your 1st mortgage payment until 45-60 days after you move in!

Your credit only needs to be 600 to qualify!

Just send me your name, phone number, income before taxes, and estimated credit score.  I will get back to you ASAP!

My info is shown when you hit reply.  Email is best method of contact.

**The price in the title is an estimate, it will vary based on your credit score, debt, and area you want to live.   There are hundreds of homes available for every price range, the picture is a example**
    ",dogs are OK - wooof,house,0,,,$2300,,,http://washingtondc.craigslist.org/nva/apa/4951053451.html
4951240554,Leesburg,US,39.136635,5,-77.601285,VA,available now,11250, 1,3 ,cats are OK - purrr,2016-04-20,"
        For rent, private 3br, 1 bath home for rent, sits in the middle of 5 lots! Perfect for the gardener and those seeking a home life away from the fray of urban and suburban living, without the drive and time often accompanying rural living. 

Instant access to RT7, (back to rt 7),  nice views, minutes to wineries, breweries, W&OD trails, great hikes, and yet 5 minutes away from all the shopping and convenience the town of Leesburg has to offer. On the Catoctin Ridge, enter through Shenstone, across from Beacon Hill. 

Maximum occupancy 3. Very quiet and private. 

Convenient access and commute, no lights to DC. Exactly 20 Minutes to Reston. 

From Leesburg: West on RT 7 to left into Shenstone subdivision onto White Gate Pl. First right on Beechnut, .7 miles to 40540 Beechnut Rd on the right. 

Showings by appointment, open weekends.

Flexible lease term is 6 months, then month to month. Security deposit is $500 for excellent credit. Rent is $1700 per month for whole house, or $1000 for 2 bedrooms and access to main living areas. Rent includes water and electric. FIOS is available, but not included.

The house is partially furnished, you are welcome to use what is there, or all can be moved to storage.

All Tenants must maintain a renter's insurance 
policy. Most quiet well behaved pets are welcome. Send breed, sex, age, and pictures, or bring your pets by.

We'll respond to most inquiries within 24 hours. Text, phone call or email. 



",dogs are OK - wooof,house,24,w/d in unit,off-street parking,$1700,no smoking,1260,http://washingtondc.craigslist.org/nva/apa/4951240554.html
4951318729,,,39.085970,0,-78.212442,,available now,13500, 4,3 ,,2016-02-01,"
        Newtown Crossing is located in the historic Town of Stephens City in Frederick County Virginia. It's isolated, yet convenient location is ideal for commuters, close to major shopping, schools, and colleges such as Shenandoah University and Lord Fairfax Community College. Also close by is Sherando Park, which includes, lakes, playgrounds, public pools, baseball and soccer fields, hiking and biking trails and more

Townhomes features: Dual Zone HVAC for Energy Efficiency and comfort, Gas Heat and Gas Hot Water, Spacious Floor-plan with an abundance of natural light, Walk-in Pantry, 42"" Maple Kitchen Cabinetry, Black Whirlpool Appliances, curb side trash pickup every week and much more. Call or email for additional details. Serious Inquires only please. No Smoking, Pets (Small Dog Only) case-by-case Basis. Thank you
    ",dogs are OK - wooof,townhouse,20,w/d in unit,attached garage,$1375,,2193,http://washingtondc.craigslist.org/nva/apa/4951318729.html
4951335652,Alexandria,US,38.838421,0,-77.105141,VA,available now,0, 1,1 ,,2015-05-01,"
        **Photos**:  http://slideshow.mris.com/slideshow/slideshow.htm?ListingKey=98916810505
This is it!!! Bright, light & spacious (776 Sq.f.), What a luxury & lifestyle! A desert dream & sumptuous condo: Pristine & immaculate! Fantastic wooded unobstructed view from the balcony...hardwood floors in LR, granite kitchen counters, SS GE appliances, covered parking.  FULL size W/D. Minutes from I-395, Old Town, DC, BRAC. 24 h. concierge, pool, fitness ctr. w/ sauna, library, billiard room, party room, courtyard & business center. *GAS/WATER/CONDO FEE/PKG incl-d in rent
Available: May 1!
Address: 3101 NORTH HAMPTON DR #1307, ALEXANDRIA, VA 22302

Sincerely and Respectfully,
Cell: 
 show contact info

Kirill Gorbounov; RE/MAX Allegiance; more info: www.YourSkylineConnection.com
    ",,condo,0,w/d in unit,attached garage,$1595,,776,http://washingtondc.craigslist.org/nva/apa/4951335652.html
4951351053,,,38.819100,0,-77.148400,,available now,11739, 2,3 ,cats are OK - purrr,2015-04-12,"
        **AVAILABLE NOW** This 3 Bedroom, 2 Bathroom 1,454 sq ft unit is fully renovated.  It is located in Valleypark Condominiums off Edsall Road and 395.  Easy access to 395, 95, 495, Van Dorn Metro and Washington, DC.  It has a pool and playground.  There are 2 parking spots included in the rent with the option for a 3rd for a monthly fee (parking policy strictly enforced).  Tenant is responsible for all utilities except water.  Utility costs low.  (Pictures provided show the unit empty and previously decorated).

FEATURES
Rooms:  Living Room, Dining room, Den, Master bedroom, Second Bedroom, Third Bedroom, Galley Kitchen, 2 Bath Rooms, Laundry Room (on site)
Interior Style: Floor Plan-Open 
Dining/Kitchen: Galley Kitchen, Spacious Living Room/Dining Room Combo
Appliances: Dishwasher, Disposal, Exhaust Fan, Microwave, Oven/Ranges -- Gas, Refrigerator w/ Ice Maker
Interior Amenities: Bath Ceramic tile, Drapery Rods, MBR-BA Full, Shades/Blinds, Laminate Wood Floors
Additional Amenities: Laundry Room (on-site), Storage Available
Security: Secured Front Door with Key-pad

The following will be required of you:
1.  1 Month's Rent Security Deposit (standard in area)
2.  1st Month's Rent (prorated if needed) when you move in
3.  Valleypark Lease Addendum Deposit - $200
4.  Move-In Fee: $100
5.  1 Year Lease agreement or greater (renewal option)
6.  Rental Application ($20 Fee)
7.  Credit check performed (some derogatory credit will be considered on an individual basis)
8.  Background Check
9.  Pets Optional (Deposit and Monthly Fee Assessed)
10. Landlord Ineligible to Participate in Home Voucher Program
",dogs are OK - wooof,condo,23,laundry in bldg,off-street parking,$1900,,1454,http://washingtondc.craigslist.org/nva/apa/4951351053.html
4951358735,,,,,,,available now,0, 4,5 ,cats are OK - purrr,2016-02-18,"
        You can own a house for less than you can rent it for!  Plus get a tax break that will save you hundreds a month on your income taxes!?  When you move, make some nice easy money from selling the house, instead of nothing when you rent!   Or rent it out to someone else and make some $$$ every month while growing your equity!  You don't have to pay your 1st mortgage payment until 45-60 days after you move in!

If your credit is 600+ I can help you now.  If it's too low, the loan officer I normally recommend my clients to use can give you some suggestions on how to improve it.

Please email me your name, number, income before taxes, and estimated credit score.  I will get back to you ASAP!  My info is shown when you hit reply.   Email is best method of contact.

**The price in the title is an estimate, it will vary based on your credit score, debt, and area you want to live.   There are hundreds of homes available for every price range, the picture is a example**
    ",dogs are OK - wooof,townhouse,0,,,$1650,,,http://washingtondc.craigslist.org/nva/apa/4951358735.html
